Date;Time;P1 Press A;P1 Press B;P1 Press;P1 Rate A;P1 Rate B;P1 Rate;P1 Vol A;P1 Vol B;P1 Cum Vol;P1 Delta Press;P2 Press A;P2 Press B;P2 Press;P2 Rate A;P2 Rate B;P2 Rate;P2 Vol A;P2 Vol B;P2 Cum Vol;P2 Delta Press;P3 Press A;P3 Press B;P3 Press;P3 Rate A;P3 Rate B;P3 Rate;P3 Vol A;P3 Vol B;P3 Cum Vol;P3 Delta Press;P4 Press A;P4 Press B;P4 Press;P4 Rate A;P4 Rate B;P4 Rate;P4 Vol A;P4 Vol B;P4 Cum Vol;P4 Delta Press
07-11-2018;22:23:01;33,1;33,5;33,1;0,03330;-0,00511;0,03330;1,181;-0,010;0,083;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;22:24:41;31,4;31,4;31,4;0,03330;-0,00283;0,03330;1,236;-0,013;0,137;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;22:26:21;30,5;30,7;30,5;0,03330;-0,00110;0,03330;1,292;-0,015;0,193;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;22:28:01;29,8;30,1;29,8;0,03330;0,00452;0,03330;1,347;-0,014;0,249;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;22:29:41;29,5;29,0;29,5;0,03330;0,00567;0,03330;1,403;-0,015;0,303;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;22:31:21;29,3;29,1;29,3;0,03330;0,01378;0,03330;1,458;-0,015;0,359;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;22:33:01;29,3;29,1;29,3;0,03330;0,00390;0,03330;1,514;-0,014;0,416;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;22:34:41;29,4;29,1;29,4;0,03330;0,01101;0,03330;1,569;-0,012;0,472;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;22:36:21;29,3;29,3;29,3;0,03330;0,00377;0,03330;1,625;-0,011;0,526;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;22:38:01;29,2;29,4;29,2;0,03330;-0,00105;0,03330;1,680;-0,009;0,582;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;22:39:41;29,2;29,2;29,2;0,03330;-0,00025;0,03330;1,736;-0,009;0,638;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;22:41:21;29,5;29,2;29,5;0,03330;0,00314;0,03330;1,791;-0,008;0,692;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;22:43:01;29,8;29,6;29,8;0,03330;0,00672;0,03330;1,847;-0,006;0,748;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;22:44:41;29,4;29,8;29,4;0,03330;-0,00208;0,03330;1,903;-0,004;0,804;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;22:46:21;29,5;29,9;29,5;0,03330;-0,00523;0,03330;1,958;-0,003;0,858;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;22:48:01;29,8;29,7;29,8;0,03330;-0,00183;0,03330;2,013;-0,004;0,914;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;22:49:41;29,8;29,7;29,8;0,03330;-0,00160;0,03330;2,069;-0,003;0,971;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;22:51:21;30,1;29,9;30,1;0,03330;0,00314;0,03330;2,124;-0,001;1,027;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;22:53:01;30,0;30,3;30,0;0,03330;-0,00013;0,03330;2,180;0,001;1,081;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;22:54:41;30,1;30,2;30,1;0,03330;0,00500;0,03330;2,235;0,001;1,137;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;22:56:21;30,7;30,6;30,7;0,03330;0,00362;0,03330;2,291;0,003;1,193;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;22:58:01;31,0;31,0;31,0;0,03330;-0,00090;0,03330;2,347;0,005;1,247;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;22:59:41;31,5;31,1;31,5;0,03330;0,00227;0,03330;2,402;0,007;1,303;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:01:21;31,6;31,9;31,6;0,03330;-0,00686;0,03330;2,457;0,009;1,359;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:03:01;31,7;31,5;31,7;0,03330;-0,00010;0,03330;2,513;0,009;1,413;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:04:41;32,2;32,2;32,2;0,03330;-0,00849;0,03330;2,568;0,011;1,469;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:06:21;31,9;32,0;31,9;0,03330;0,00042;0,03330;2,624;0,012;1,526;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:08:01;32,2;32,1;32,2;0,03330;0,00500;0,03330;2,679;0,013;1,582;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:09:41;32,1;32,2;32,1;0,03330;-0,00263;0,03330;2,735;0,013;1,636;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:11:21;32,6;32,3;32,6;0,03330;0,00294;0,03330;2,791;0,015;1,692;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:13:01;32,6;32,6;32,6;0,03330;0,00998;0,03330;2,846;0,017;1,748;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:14:41;32,7;32,6;32,7;0,03330;-0,00413;0,03330;2,901;0,017;1,802;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:16:21;33,0;33,1;33,0;0,03330;0,00264;0,03330;2,957;0,019;1,858;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:18:01;33,2;33,1;33,2;0,03330;0,00562;0,03330;3,012;0,020;1,914;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:19:41;33,3;33,4;33,3;0,03330;0,00242;0,03330;3,068;0,021;1,970;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:21:21;33,2;32,9;33,2;0,03330;0,00778;0,03330;3,123;0,021;2,024;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:23:01;33,2;33,2;33,2;0,03330;0,00500;0,03330;3,179;0,023;2,081;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:24:41;33,4;33,4;33,4;0,03330;0,00087;0,03330;3,235;0,024;2,137;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:26:21;33,4;33,2;33,4;0,03330;0,00412;0,03330;3,290;0,023;2,191;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:28:01;33,4;33,4;33,4;0,03330;0,00039;0,03330;3,345;0,024;2,247;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:29:41;33,3;33,2;33,3;0,03330;0,00177;0,03330;3,401;0,025;2,303;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:31:21;33,2;33,3;33,2;0,03330;0,00500;0,03330;3,456;0,025;2,357;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:33:01;33,7;33,3;33,7;0,03330;0,00097;0,03330;3,512;0,026;2,413;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:34:41;33,5;33,6;33,5;0,03330;-0,00048;0,03330;3,567;0,028;2,469;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:36:21;33,1;33,0;33,1;0,03330;0,00204;0,03330;3,623;0,028;2,525;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:38:01;33,5;33,2;33,5;0,03330;-0,00128;0,03330;3,679;0,029;2,579;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:39:41;33,4;33,2;33,4;0,03330;0,00540;0,03330;3,734;0,030;2,635;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:41:21;33,2;33,4;33,2;0,03330;0,00500;0,03330;3,790;0,031;2,692;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:43:01;33,2;33,4;33,2;0,03330;-0,00135;0,03330;3,845;0,032;2,745;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:44:41;33,3;33,3;33,3;0,03330;-0,00078;0,03330;3,900;0,032;2,802;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:46:21;33,5;33,5;33,5;0,03330;-0,00471;0,03330;3,956;0,032;2,858;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:48:01;33,5;33,5;33,5;0,03330;-0,00110;0,03330;4,012;0,034;2,914;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07-11-2018;23:49:41;33,6;33,7;33,6;0,03330;0,00072;0,03330;4,067;0,034;2,968;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
